standard,unit,title,dimensions,tca,items,dok1,dok2,dok3,mc,sa,cr,er,dbq,tn_specific,ssp,c3,id_range,reporting_category,verbatim
GC.01,1,Enlightenment roots of American government,"(C, E)",,20,4,7,9,15,1,2,0,2,0,SSP.02/SSP.04,D2/D3/D4,GC.01-Q01–GC.01-Q20,RC-GOV1: Foundations of Constitutional Government,"Examine the influences of leading European thinkers (e.g., John Locke, Charles-Louis Montesquieu, Thomas Hobbes) and other roots of American government (e.g., Greek democracy, Roman Republic, Magna Carta)."
GC.02,1,Declaration of Independence,(H),,20,4,7,9,15,1,2,0,2,0,SSP.02/SSP.04,D2/D3/D4,GC.02-Q01–GC.02-Q20,RC-GOV1: Foundations of Constitutional Government,Examine the Declaration of Independence and American grievances against British rule.
GC.03,1,Articles of Confederation,(H),,20,4,7,9,15,1,2,0,2,0,SSP.02/SSP.04,D2/D3/D4,GC.03-Q01–GC.03-Q20,RC-GOV1: Foundations of Constitutional Government,Identify the strengths and weaknesses of the Articles of Confederation.
GC.04,1,Constitutional Convention of 1787,(H),,20,4,7,9,15,1,2,0,2,0,SSP.02/SSP.04,D2/D3/D4,GC.04-Q01–GC.04-Q20,RC-GOV1: Foundations of Constitutional Government,"Discuss the Constitutional Convention of 1787, including the Great Compromise and the ensuing debate over ratification between the Federalists and Anti-Federalists."
GC.05,1,Preamble: purposes and functions of government,,,20,4,7,9,15,1,2,1,1,0,SSP.02/SSP.04,D2/D3/D4,GC.05-Q01–GC.05-Q20,RC-GOV1: Foundations of Constitutional Government,Describe the purposes and functions of government as outlined in the Preamble of the Constitution.
GC.06,1,Limited government principles,,,20,4,7,9,15,1,2,0,2,0,SSP.02/SSP.04,D2/D3/D4,GC.06-Q01–GC.06-Q20,RC-GOV1: Foundations of Constitutional Government,"Describe limited government within the Constitution, including: checks and balances; civilian control of the military; federalism; judicial review; popular sovereignty; rule of law; separation of powers."
GC.07,1,Structure of the Constitution & amendment process,,,20,4,7,9,15,1,2,0,2,0,SSP.02/SSP.04,D2/D3/D4,GC.07-Q01–GC.07-Q20,RC-GOV1: Foundations of Constitutional Government,Describe the structure of the Constitution and the process to amend it.
GC.08,1,Bill of Rights,(C),Yes,20,4,7,9,15,1,2,0,2,1,SSP.02/SSP.04,D2/D3/D4,GC.08-Q01–GC.08-Q20,RC-GOV1: Foundations of Constitutional Government,Analyze how the Bill of Rights limits the powers of the government and ensures individual rights.
GC.09,1,Democracy vs. republic,,,20,4,7,9,15,1,2,0,2,0,SSP.02/SSP.04,D2/D3/D4,GC.09-Q01–GC.09-Q20,RC-GOV1: Foundations of Constitutional Government,Define the concepts of democracy and republic and examine the relationship between the two.
GC.10,3,Article I & the 17th Amendment,(H),,20,4,7,9,15,1,2,1,1,0,SSP.01/SSP.02/SSP.03/SSP.04,D2/D3/D4,GC.10-Q01–GC.10-Q20,RC-GOV3: The Legislative Branch,"Analyze Article I and the 17th Amendment of the Constitution as they relate to the legislative branch, including eligibility for office, roles, length of terms, and election to office for representatives and senators, respectively."
GC.11,3,"Census, redistricting & Baker v. Carr",(T),,20,4,7,9,15,1,2,0,2,9,SSP.01/SSP.02/SSP.03/SSP.04/SSP.05/SSP.06,D2/D3/D4,GC.11-Q01–GC.11-Q20,RC-GOV3: The Legislative Branch,"Describe the census and its role in redistricting and reapportionment, including the role of Baker v. Carr."
GC.12,3,Legislative leadership positions,,,20,4,7,9,15,1,2,1,1,0,SSP.01/SSP.02/SSP.03/SSP.04,D2/D3/D4,GC.12-Q01–GC.12-Q20,RC-GOV3: The Legislative Branch,"Identify leadership positions of the legislative branch, including: Majority and Minority leaders; President pro tempore; role of the vice president; Speaker of the House."
